"id","code","name","user_type_id:id","reconcile","chart_template_id:id"
"t240",240,"Bağlı Menkul Kıymetler","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t241",241,"Bağlı Menkul Kıymetler Değer Düşüklüğü Karşılığı (-)","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t242",242,"İştirakler","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t243",243,"İştiraklere Sermaye Taahhütleri (-)","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t244",244,"İştirakler Sermaye Payları Değer Düşüklüğü Karşılığı (-)","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t245",245,"Bağlı Ortaklıklar","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t246",246,"Bağlı Ortaklıklara Sermaye Taahhütleri (-)","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t247",247,"Bağlı Ortaklıklar Sermaye Payları Değer Düşüklüğü Karşılığı (-)","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t248",248,"Diğer Mali Duran Varlıklar","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t249",249,"Diğer Mali Duran Varlıklar Karşılığı (-)","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t250",250,"Arazi Ve Arsalar","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t251",251,"Yer Altı Ve Yer Üstü Düzenleri","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t252",252,"Binalar","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t253",253,"Tesis, Makine Ve Cihazlar","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t254",254,"Taşıtlar","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t255",255,"Demirbaşlar","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t256",256,"Diğer Maddi Duran Varlıklar","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t257",257,"Birikmiş Amortismanlar (-)","account.data_account_type_depreciation","FALSE","l10n_tr_chart.tr_chart_template"
"t258",258,"Yapılmakta Olan Yatırımlar","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t259",259,"Verilen Avanslar","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t260",260,"Haklar","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t261",261,"Şerefiye","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t262",262,"Kuruluş Ve Örgütlenme Giderleri","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t263",263,"Araştırma Ve Geliştirme Giderleri","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t264",264,"Özel Maliyetler","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t267",267,"Diğer Maddi Olmayan Duran Varlıklar","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t268",268,"Birikmiş Amortismanlar (-)","account.data_account_type_depreciation","FALSE","l10n_tr_chart.tr_chart_template"
"t269",269,"Verilen Avanslar","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t271",271,"Arama Giderleri","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t272",272,"Hazırlık Ve Geliştirme Giderleri","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t277",277,"Diğer Özel Tükenmeye Tabi Varlıklar","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t278",278,"Birikmiş Tükenme Payları (-)","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t279",279,"Verilen Avanslar","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t280",280,"Gelecek Yıllara Ait Giderler","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t281",281,"Gelir Tahakkukları","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t291",291,"Gelecek Yıllarda İndirilecek Katma Değer Vergisi","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t292",292,"Diğer Katma Değer Vergisi","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t293",293,"Gelecek Yıllar İhtiyacı Stoklar","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t294",294,"Elden Çıkarılacak Stoklar Ve Maddi Duran Varlıklar","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t297",297,"Diğer Çeşitli Duran Varlıklar","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t298",298,"Stok Değer Düşüklüğü Karşılığı (-)","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t299",299,"Birikmiş Amortismanlar (-)","account.data_account_type_depreciation","FALSE","l10n_tr_chart.tr_chart_template"
"t300",300,"Banka Kredileri","account.data_account_type_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t303",303,"Uzun Vadeli Kredilerin Anapara Taksitleri Ve Faizleri","account.data_account_type_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t304",304,"Tahvil Anapara Borç, Taksit Ve Faizleri","account.data_account_type_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t305",305,"Çıkarılmış Bonolar Ve Senetler","account.data_account_type_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t306",306,"Çıkarılmış Diğer Menkul Kıymetler","account.data_account_type_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t308",308,"Menkul Kıymetler İhraç Farkı (-)","account.data_account_type_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t309",309,"Diğer Mali Borçlar","account.data_account_type_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t320",320,"Satıcılar","account.data_account_type_payable","TRUE","l10n_tr_chart.tr_chart_template"
"t321",321,"Borç Senetleri","account.data_account_type_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t322",322,"Borç Senetleri Reeskontu (-)","account.data_account_type_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t326",326,"Alınan Depozito Ve Teminatlar","account.data_account_type_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
"t329",329,"Diğer Ticari Borçlar","account.data_account_type_current_liabilities","FALSE","l10n_tr_chart.tr_chart_template"
